region,date_bin_start,year,catch_taxon,catch_name_en,landing_weight_kg,catch_kg
Covalima,01/09/19,2019,MOO,Moonfish,0,0
Covalima,01/09/19,2019,MZZ,Other,0.26712605,724.3914869
Covalima,01/09/19,2019,RAX,Short bodied mackerel,0.001650125,4.474803271
Covalima,01/09/19,2019,SDX,Mackerel scad,2.376337301,6444.143168
Covalima,01/09/19,2019,SNA,Snapper/seaperch,0.18458949,500.5691317
Covalima,01/09/19,2019,TUN,Tuna/Bonito/Other Mackerel,0.015322682,41.55199477
Covalima,01/10/19,2019,BEN,Long tom,0,0
Covalima,01/10/19,2019,CGX,Jacks/Trevally/Other Scad,0.033418656,161.3789863
Covalima,01/10/19,2019,CJX,Fusilier,0,0
Covalima,01/10/19,2019,CLP,Sardines/pilchards,0.955676513,4614.970338
Covalima,01/10/19,2019,FLY,Flying fish,0,0
Covalima,01/10/19,2019,GZP,Garfish,0.004673217,22.56700797
Covalima,01/10/19,2019,LWX,Jobfish,0.079847177,385.5827251
Covalima,01/10/19,2019,MOO,Moonfish,0,0
Covalima,01/10/19,2019,MZZ,Other,0.50438618,2435.685326
Covalima,01/10/19,2019,RAX,Short bodied mackerel,0.002422202,11.6968343
Covalima,01/10/19,2019,SDX,Mackerel scad,3.509298259,16946.43235
Covalima,01/10/19,2019,SNA,Snapper/seaperch,0.22738094,1098.024571
Covalima,01/10/19,2019,TUN,Tuna/Bonito/Other Mackerel,0.792060243,3824.865923
Covalima,01/11/19,2019,BEN,Long tom,0,0
Covalima,01/11/19,2019,CGX,Jacks/Trevally/Other Scad,0.051023128,222.4833844
Covalima,01/11/19,2019,CJX,Fusilier,0,0
Covalima,01/11/19,2019,CLP,Sardines/pilchards,1.215863825,5301.703577
Covalima,01/11/19,2019,FLY,Flying fish,0,0
Covalima,01/11/19,2019,GZP,Garfish,0,0
Covalima,01/11/19,2019,LWX,Jobfish,0.029786807,129.8836411
Covalima,01/11/19,2019,MOO,Moonfish,0.011621094,50.6731042
Covalima,01/11/19,2019,MZZ,Other,1.293507081,5640.262483
Covalima,01/11/19,2019,RAX,Short bodied mackerel,0,0
Covalima,01/11/19,2019,SDX,Mackerel scad,1.483881561,6470.379347
Covalima,01/11/19,2019,SNA,Snapper/seaperch,0.748392513,3263.322078
Covalima,01/11/19,2019,TUN,Tuna/Bonito/Other Mackerel,0.099327616,433.1123001
Covalima,01/12/19,2019,BEN,Long tom,0,0
Covalima,01/12/19,2019,CGX,Jacks/Trevally/Other Scad,0.095135395,369.9616733
Covalima,01/12/19,2019,CJX,Fusilier,0,0
Covalima,01/12/19,2019,CLP,Sardines/pilchards,1.625934775,6322.920618
Covalima,01/12/19,2019,FLY,Flying fish,0.02714283,105.5527945
Covalima,01/12/19,2019,GZP,Garfish,0,0
Covalima,01/12/19,2019,LWX,Jobfish,0,0
Covalima,01/12/19,2019,MOO,Moonfish,0.026147461,101.6820123
Covalima,01/12/19,2019,MZZ,Other,0.469214655,1824.677754
Covalima,01/12/19,2019,RAX,Short bodied mackerel,0,0
Covalima,01/12/19,2019,SDX,Mackerel scad,1.123910314,4370.65238
Covalima,01/12/19,2019,SNA,Snapper/seaperch,0.453710443,1764.385113
Covalima,01/12/19,2019,TUN,Tuna/Bonito/Other Mackerel,0.271359263,1055.259477
Covalima,01/01/20,2020,BEN,Long tom,0,0
Covalima,01/01/20,2020,CGX,Jacks/Trevally/Other Scad,0.060109959,233.8440095
Covalima,01/01/20,2020,CJX,Fusilier,0,0
Covalima,01/01/20,2020,CLP,Sardines/pilchards,1.573992245,6123.255886
Covalima,01/01/20,2020,FLY,Flying fish,0.0219336,85.32764095
Covalima,01/01/20,2020,GZP,Garfish,0,0
Covalima,01/01/20,2020,LWX,Jobfish,0.00270712,10.53142845
Covalima,01/01/20,2020,MOO,Moonfish,0,0
Covalima,01/01/20,2020,MZZ,Other,0.412740175,1605.671002
Covalima,01/01/20,2020,RAX,Short bodied mackerel,5.86E-04,2.280599628
Covalima,01/01/20,2020,SDX,Mackerel scad,1.332482826,5183.718874
Covalima,01/01/20,2020,SNA,Snapper/seaperch,0.138678471,539.4967905
Covalima,01/01/20,2020,TUN,Tuna/Bonito/Other Mackerel,0.177191469,689.3227772
Covalima,01/02/20,2020,BEN,Long tom,0,0
Covalima,01/02/20,2020,CGX,Jacks/Trevally/Other Scad,0.086932203,323.9023797
Covalima,01/02/20,2020,CJX,Fusilier,0,0
Covalima,01/02/20,2020,CLP,Sardines/pilchards,2.07195927,7719.953151
Covalima,01/02/20,2020,FLY,Flying fish,0.073314827,273.1651322
Covalima,01/02/20,2020,GZP,Garfish,0.005659785,21.08790422
Covalima,01/02/20,2020,LWX,Jobfish,0.010532097,39.24174559
Covalima,01/02/20,2020,MOO,Moonfish,0,0
Covalima,01/02/20,2020,MZZ,Other,0.328447297,1223.768142
Covalima,01/02/20,2020,RAX,Short bodied mackerel,0,0
Covalima,01/02/20,2020,SDX,Mackerel scad,1.485662404,5535.458308
Covalima,01/02/20,2020,SNA,Snapper/seaperch,0.676764936,2521.571574
